Regione_ID;Regione;Anno;Categoria_Lavoro;Stipendio_Mensile_Netto;Stipendio_Mensile_Lordo;Stipendio_Annuale_Netto;Stipendio_Annuale_Lordo
1;Abruzzo;2017;Agricoltura;1221.11;1709.56;15874.44;22224.22
1;Abruzzo;2017;Industria;1422.38;1991.34;18490.99;25887.38
1;Abruzzo;2017;Servizi;1620.06;2268.08;21060.76;29485.07
1;Abruzzo;2017;Commercio;1395.85;1954.19;18146.01;25404.42
1;Abruzzo;2017;Turismo;1215.65;1701.91;15803.41;22124.77
1;Abruzzo;2017;Sanità;1958.19;2741.46;25456.45;35639.02
1;Abruzzo;2017;Educazione;1710.7;2394.98;22239.06;31134.69
1;Abruzzo;2017;Pubblica Amministrazione;1841.17;2577.63;23935.16;33509.22
1;Abruzzo;2017;Costruzioni;1469.12;2056.76;19098.5;26737.9
1;Abruzzo;2017;Tecnologia;1413.89;1979.45;18380.62;25732.87
1;Abruzzo;2017;Finanza;2318.7;3246.18;30143.06;42200.28
1;Abruzzo;2017;Ingegneria;2289.08;3204.71;29757.99;41661.19
1;Abruzzo;2017;Marketing;1492.95;2090.12;19408.29;27171.6
1;Abruzzo;2017;Logistica;1407.44;1970.42;18296.71;25615.4
1;Abruzzo;2017;Manifattura;1636.14;2290.6;21269.87;29777.82
1;Abruzzo;2017;Chimica;2145.23;3003.32;27888.02;39043.22
1;Abruzzo;2017;Energia;1663.58;2329.02;21626.6;30277.24
1;Abruzzo;2017;Media;2034.17;2847.83;26444.16;37021.83
1;Abruzzo;2017;Telecomunicazioni;2253.43;3154.8;29294.58;41012.41
1;Abruzzo;2017;Ricerca;1914.41;2680.17;24887.32;34842.25
1;Abruzzo;2018;Agricoltura;1332.38;1865.33;17320.88;24249.23
1;Abruzzo;2018;Industria;1688.19;2363.47;21946.51;30725.11
1;Abruzzo;2018;Servizi;1470.56;2058.79;19117.3;26764.21
1;Abruzzo;2018;Commercio;1383.55;1936.97;17986.13;25180.58
1;Abruzzo;2018;Turismo;1303.49;1824.89;16945.4;23723.56
1;Abruzzo;2018;Sanità;2009.2;2812.88;26119.64;36567.49
1;Abruzzo;2018;Educazione;1513.98;2119.58;19681.78;27554.49
1;Abruzzo;2018;Pubblica Amministrazione;1548.29;2167.6;20127.75;28178.85
1;Abruzzo;2018;Costruzioni;1531.4;2143.96;19908.17;27871.44
1;Abruzzo;2018;Tecnologia;2048.59;2868.03;26631.72;37284.4
1;Abruzzo;2018;Finanza;2151.4;3011.96;27968.16;39155.42
1;Abruzzo;2018;Ingegneria;2008.28;2811.59;26107.65;36550.7
1;Abruzzo;2018;Marketing;2050.82;2871.14;26660.62;37324.87
1;Abruzzo;2018;Logistica;1723.4;2412.76;22404.24;31365.93
1;Abruzzo;2018;Manifattura;1568.23;2195.52;20387.01;28541.81
1;Abruzzo;2018;Chimica;2015.36;2821.5;26199.66;36679.52
1;Abruzzo;2018;Energia;1965.09;2751.12;25546.13;35764.58
1;Abruzzo;2018;Media;1814.86;2540.8;23593.13;33030.38
1;Abruzzo;2018;Telecomunicazioni;1841.47;2578.06;23939.1;33514.74
1;Abruzzo;2018;Ricerca;1877.37;2628.32;24405.8;34168.13
1;Abruzzo;2019;Agricoltura;1182.87;1656.02;15377.29;21528.21
1;Abruzzo;2019;Industria;1578.27;2209.58;20517.52;28724.53
1;Abruzzo;2019;Servizi;1958.79;2742.31;25464.3;35650.02
1;Abruzzo;2019;Commercio;1473.43;2062.8;19154.55;26816.36
1;Abruzzo;2019;Turismo;972.67;1361.74;12644.75;17702.64
1;Abruzzo;2019;Sanità;1637.57;2292.6;21288.44;29803.82
1;Abruzzo;2019;Educazione;1595.37;2233.52;20739.79;29035.71
1;Abruzzo;2019;Pubblica Amministrazione;1650.97;2311.35;21462.55;30047.57
1;Abruzzo;2019;Costruzioni;1155.6;1617.84;15022.82;21031.95
1;Abruzzo;2019;Tecnologia;2060.25;2884.35;26783.29;37496.61
1;Abruzzo;2019;Finanza;2225.75;3116.04;28934.7;40508.58
1;Abruzzo;2019;Ingegneria;2063.68;2889.16;26827.87;37559.02
1;Abruzzo;2019;Marketing;1798.69;2518.17;23382.99;32736.18
1;Abruzzo;2019;Logistica;1527.79;2138.91;19861.28;27805.8
1;Abruzzo;2019;Manifattura;1440.02;2016.03;18720.29;26208.4
1;Abruzzo;2019;Chimica;1876.88;2627.63;24399.39;34159.15
1;Abruzzo;2019;Energia;1850.46;2590.65;24056.01;33678.41
1;Abruzzo;2019;Media;1900.31;2660.43;24704.02;34585.63
1;Abruzzo;2019;Telecomunicazioni;1559.32;2183.05;20271.19;28379.67
1;Abruzzo;2019;Ricerca;1618.72;2266.2;21043.31;29460.64
1;Abruzzo;2020;Agricoltura;1112.71;1557.8;14465.26;20251.36
1;Abruzzo;2020;Industria;1518.73;2126.23;19743.52;27640.93
1;Abruzzo;2020;Servizi;1402.43;1963.4;18231.59;25524.23
1;Abruzzo;2020;Commercio;1141.27;1597.77;14836.47;20771.06
1;Abruzzo;2020;Turismo;1403.96;1965.54;18251.48;25552.07
1;Abruzzo;2020;Sanità;1813.85;2539.39;23580.09;33012.12
1;Abruzzo;2020;Educazione;1589.95;2225.93;20669.39;28937.14
1;Abruzzo;2020;Pubblica Amministrazione;1694.4;2372.17;22027.26;30838.16
1;Abruzzo;2020;Costruzioni;1432.8;2005.92;18626.37;26076.91
1;Abruzzo;2020;Tecnologia;1930.97;2703.35;25102.56;35143.58
1;Abruzzo;2020;Finanza;2199.51;3079.32;28593.68;40031.15
1;Abruzzo;2020;Ingegneria;1945.15;2723.21;25286.97;35401.75
1;Abruzzo;2020;Marketing;1809.96;2533.95;23529.5;32941.3
1;Abruzzo;2020;Logistica;1522.71;2131.79;19795.18;27713.25
1;Abruzzo;2020;Manifattura;1349.92;1889.88;17548.91;24568.48
1;Abruzzo;2020;Chimica;1845.74;2584.03;23994.57;33592.4
1;Abruzzo;2020;Energia;1970.67;2758.93;25618.66;35866.13
1;Abruzzo;2020;Media;1481.63;2074.28;19261.13;26965.59
1;Abruzzo;2020;Telecomunicazioni;1901.54;2662.16;24720.05;34608.08
1;Abruzzo;2020;Ricerca;1512.56;2117.58;19663.23;27528.52
1;Abruzzo;2021;Agricoltura;1169.12;1636.77;15198.55;21277.96
1;Abruzzo;2021;Industria;1882.04;2634.86;24466.52;34253.13
1;Abruzzo;2021;Servizi;1577.51;2208.51;20507.62;28710.66
1;Abruzzo;2021;Commercio;1480.77;2073.07;19249.95;26949.93
1;Abruzzo;2021;Turismo;1243.37;1740.72;16163.87;22629.41
1;Abruzzo;2021;Sanità;1771.3;2479.82;23026.94;32237.71
1;Abruzzo;2021;Educazione;1851.3;2591.81;24066.85;33693.58
1;Abruzzo;2021;Pubblica Amministrazione;1706.07;2388.5;22178.92;31050.49
1;Abruzzo;2021;Costruzioni;1485.71;2080.0;19314.29;27040.01
1;Abruzzo;2021;Tecnologia;2096.35;2934.89;27252.56;38153.59
1;Abruzzo;2021;Finanza;2155.38;3017.53;28019.89;39227.84
1;Abruzzo;2021;Ingegneria;2179.89;3051.84;28338.52;39673.93
1;Abruzzo;2021;Marketing;1726.09;2416.53;22439.23;31414.92
1;Abruzzo;2021;Logistica;1661.47;2326.05;21599.08;30238.71
